runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-04 20:56:00.281764,"51.520406, -0.085969","51.48928372423443, -0.12965154567427203",10.0 km,30 mins,1786,transit
2020-03-04 20:56:00.632848,"51.520406, -0.085969","51.49499057641377, -0.14774543656214553",8.0 km,32 mins,1896,transit
2020-03-04 20:56:00.964706,"51.520406, -0.085969","51.50242896344947, -0.16162935919289412",7.2 km,30 mins,1786,transit
2020-03-04 20:56:01.290343,"51.520406, -0.085969","51.51109267911892, -0.1703571533793097",7.8 km,27 mins,1601,transit
2020-03-04 20:56:01.621611,"51.520406, -0.085969","51.520391824375345, -0.17333404056674936",7.0 km,24 mins,1455,transit
2020-03-04 20:56:01.952284,"51.520406, -0.085969","51.529692868803465, -0.17035715337930973",7.2 km,29 mins,1747,transit
2020-03-04 20:56:02.347010,"51.520406, -0.085969","51.538361773107844, -0.16162935919289417",8.2 km,31 mins,1874,transit
2020-03-04 20:56:02.670535,"51.520406, -0.085969","51.54580724795397, -0.14774543656214553",7.9 km,25 mins,1524,transit
2020-03-04 20:56:02.999228,"51.520406, -0.085969","51.551521187947536, -0.12965154567427206",8.5 km,30 mins,1791,transit
2020-03-04 20:56:03.330575,"51.520406, -0.085969","51.555113488205365, -0.10858075272531556",5.4 km,30 mins,1777,transit
2020-03-04 20:56:03.645022,"51.520406, -0.085969","51.55633881981347, -0.08596900000000003",4.7 km,25 mins,1485,transit
2020-03-04 20:56:03.928396,"51.520406, -0.085969","51.56532202476685, -0.085969",5.9 km,31 mins,1861,transit
2020-03-04 20:56:04.255644,"51.520406, -0.085969","51.563790062893844, -0.05770429874393138",7.3 km,25 mins,1485,transit
2020-03-04 20:56:04.571883,"51.520406, -0.085969","51.55929887539971, -0.03136580227005298",9.1 km,41 mins,2475,transit
2020-03-04 20:56:04.894686,"51.520406, -0.085969","51.55215534163178, -0.008748440599102092",10.3 km,33 mins,1966,transit
2020-03-04 20:56:05.225486,"51.520406, -0.085969","51.54284739040099, 0.0086064554605119",8.0 km,25 mins,1499,transit
2020-03-04 20:56:05.614331,"51.520406, -0.085969","51.53201045056956, 0.019516190523844026",8.7 km,27 mins,1621,transit
2020-03-04 20:56:05.948452,"51.520406, -0.085969","51.52038385058883, 0.023237296276681037",12.2 km,42 mins,2511,transit
