runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-05 20:18:25.588919,"51.520406, -0.085969","51.505168625506585, -0.06315677344856928",3.7 km,23 mins,1371,transit
2020-03-05 20:18:25.809389,"51.520406, -0.085969","51.50454182086013, -0.06577137357336359",3.7 km,23 mins,1363,transit
2020-03-05 20:18:26.014612,"51.520406, -0.085969","51.503992281810085, -0.06847979536803515",2.9 km,30 mins,1791,transit
2020-03-05 20:18:26.246987,"51.520406, -0.085969","51.50352268281624, -0.07126931445895024",3.1 km,29 mins,1769,transit
2020-03-05 20:18:26.618382,"51.520406, -0.085969","51.50313530921499, -0.0741268927722058",3.1 km,21 mins,1271,transit
2020-03-05 20:18:27.070156,"51.520406, -0.085969","51.50283204613403, -0.07703923115702789",2.7 km,18 mins,1072,transit
2020-03-05 20:18:27.535448,"51.520406, -0.085969","51.50261436934941, -0.07999282186163764",2.6 km,16 mins,947,transit
2020-03-05 20:18:27.942759,"51.520406, -0.085969","51.502483338128485, -0.08297400085343094",2.4 km,16 mins,981,transit
2020-03-05 20:18:28.339723,"51.520406, -0.085969","51.50243959009326, -0.085969",2.3 km,16 mins,931,transit
2020-03-05 20:18:28.698828,"51.520406, -0.085969","51.502483338128485, -0.08896399914656906",2.3 km,15 mins,904,transit
2020-03-05 20:18:29.072803,"51.520406, -0.085969","51.50261436934941, -0.0919451781383624",2.8 km,12 mins,720,transit
2020-03-05 20:18:29.500579,"51.520406, -0.085969","51.50283204613403, -0.09489876884297214",2.9 km,13 mins,755,transit
2020-03-05 20:18:29.886601,"51.520406, -0.085969","51.50313530921499, -0.09781110722779421",3.0 km,15 mins,889,transit
2020-03-05 20:18:30.269704,"51.520406, -0.085969","51.50352268281624, -0.10066868554104977",3.6 km,17 mins,1034,transit
2020-03-05 20:18:30.705868,"51.520406, -0.085969","51.503992281810085, -0.10345820463196484",3.4 km,15 mins,883,transit
2020-03-05 20:18:31.068750,"51.520406, -0.085969","51.50454182086013, -0.10616662642663643",3.5 km,16 mins,965,transit
2020-03-05 20:18:31.530862,"51.520406, -0.085969","51.505168625506585, -0.10878122655143074",3.7 km,19 mins,1131,transit
2020-03-05 20:18:31.936880,"51.520406, -0.085969","51.50586964514076, -0.11128964706601817",4.2 km,23 mins,1409,transit
2020-03-05 20:18:32.196330,"51.520406, -0.085969","51.50664146780675, -0.11367994923407432",4.1 km,23 mins,1352,transit
2020-03-05 20:18:32.458440,"51.520406, -0.085969","51.507480336759095, -0.11594066622210342",4.0 km,22 mins,1330,transit
2020-03-05 20:18:32.702887,"51.520406, -0.085969","51.50838216869734, -0.11806085557672884",3.6 km,46 mins,2759,transit
2020-03-05 20:18:32.990053,"51.520406, -0.085969","51.50934257358969, -0.12003015128914972",3.6 km,22 mins,1319,transit
2020-03-05 20:18:33.266897,"51.520406, -0.085969","51.51035687599086, -0.12183881521342527",3.5 km,21 mins,1264,transit
2020-03-05 20:18:33.514317,"51.520406, -0.085969","51.51142013775114, -0.12347778756390486",3.6 km,24 mins,1419,transit
2020-03-05 20:18:33.772936,"51.520406, -0.085969","51.512527182007986, -0.12493873617772204",4.2 km,22 mins,1308,transit
2020-03-05 20:18:34.021175,"51.520406, -0.085969","51.513672618343975, -0.126214104191856",4.8 km,22 mins,1334,transit
2020-03-05 20:18:34.287103,"51.520406, -0.085969","51.51485086899021, -0.1272971557520774",4.7 km,20 mins,1188,transit
2020-03-05 20:18:34.534064,"51.520406, -0.085969","51.516056195948416, -0.12818201934406415",4.4 km,18 mins,1081,transit
2020-03-05 20:18:34.771414,"51.520406, -0.085969","51.51728272890068, -0.12886372831613696",4.4 km,18 mins,1065,transit
2020-03-05 20:18:34.998907,"51.520406, -0.085969","51.51852449377175, -0.12933825814919714",4.6 km,19 mins,1115,transit
2020-03-05 20:18:35.228195,"51.520406, -0.085969","51.51977544180542, -0.1296025600232305",4.7 km,21 mins,1234,transit
2020-03-05 20:18:35.483768,"51.520406, -0.085969","51.52102947901402, -0.1296545902316769",5.0 km,22 mins,1341,transit
2020-03-05 20:18:35.773383,"51.520406, -0.085969","51.522280495857764, -0.12949333500533797",5.0 km,21 mins,1277,transit
2020-03-05 20:18:35.998281,"51.520406, -0.085969","51.52352239700966, -0.1291188303264259",4.9 km,22 mins,1304,transit
2020-03-05 20:18:36.208193,"51.520406, -0.085969","51.52474913106095, -0.12853217634072572",5.2 km,19 mins,1166,transit
2020-03-05 20:18:36.425122,"51.520406, -0.085969","51.52595472002225, -0.12773554601132964",5.3 km,20 mins,1206,transit
2020-03-05 20:18:36.654999,"51.520406, -0.085969","51.527133288476016, -0.12673218770050543",3.9 km,20 mins,1174,transit
2020-03-05 20:18:36.926762,"51.520406, -0.085969","51.52827909223825, -0.12552642141630654",3.7 km,17 mins,1039,transit
2020-03-05 20:18:37.165360,"51.520406, -0.085969","51.5293865463885, -0.1241236285166017",3.5 km,14 mins,818,transit
2020-03-05 20:18:37.394329,"51.520406, -0.085969","51.53045025253126, -0.1225302347244316",3.5 km,15 mins,912,transit
2020-03-05 20:18:37.614706,"51.520406, -0.085969","51.531465025154574, -0.12075368637377448",3.3 km,9 mins,560,transit
2020-03-05 20:18:37.837855,"51.520406, -0.085969","51.53242591695641, -0.11880241987289225",3.5 km,12 mins,692,transit
2020-03-05 20:18:38.053267,"51.520406, -0.085969","51.533328243014324, -0.11668582444219595",3.3 km,13 mins,773,transit
2020-03-05 20:18:38.298730,"51.520406, -0.085969","51.53416760367905, -0.11441419825383917",3.3 km,13 mins,782,transit
2020-03-05 20:18:38.508454,"51.520406, -0.085969","51.53493990607953, -0.11199869816993314",3.0 km,14 mins,826,transit
2020-03-05 20:18:38.738338,"51.520406, -0.085969","51.5356413841328, -0.109451283344231",3.2 km,15 mins,881,transit
2020-03-05 20:18:39.020657,"51.520406, -0.085969","51.53626861696033, -0.10678465301743179",3.1 km,13 mins,799,transit
2020-03-05 20:18:39.256661,"51.520406, -0.085969","51.5368185456194, -0.10401217889795006",2.9 km,13 mins,785,transit
2020-03-05 20:18:39.461261,"51.520406, -0.085969","51.5372884880669, -0.10114783257735745",3.1 km,15 mins,885,transit
2020-03-05 20:18:39.724521,"51.520406, -0.085969","51.537676152281506, -0.09820610848203722",3.3 km,18 mins,1084,transit
2020-03-05 20:18:39.933232,"51.520406, -0.085969","51.537979647479055, -0.09520194290934936",2.7 km,19 mins,1150,transit
2020-03-05 20:18:40.184631,"51.520406, -0.085969","51.538197493365615, -0.09215062973736125",2.3 km,17 mins,1013,transit
2020-03-05 20:18:40.407284,"51.520406, -0.085969","51.53832862738245, -0.08906773343159267",2.7 km,18 mins,1058,transit
2020-03-05 20:18:40.744373,"51.520406, -0.085969","51.547355614860095, -0.085969",3.5 km,20 mins,1195,transit
2020-03-05 20:18:41.004024,"51.520406, -0.085969","51.54728992812485, -0.08128311348253466",3.6 km,20 mins,1222,transit
2020-03-05 20:18:41.359710,"51.520406, -0.085969","51.54709318850565, -0.07662170021820017",4.1 km,24 mins,1417,transit
2020-03-05 20:18:41.634592,"51.520406, -0.085969","51.54676635618922, -0.0720090838829672",4.4 km,27 mins,1648,transit
2020-03-05 20:18:41.964964,"51.520406, -0.085969","51.54631102625154, -0.06746929023178545",4.6 km,31 mins,1862,transit
2020-03-05 20:18:42.216235,"51.520406, -0.085969","51.54572942083247, -0.0630259012103504",5.0 km,34 mins,2041,transit
2020-03-05 20:18:42.452228,"51.520406, -0.085969","51.54502437823525, -0.058701912722726346",5.1 km,23 mins,1408,transit
2020-03-05 20:18:42.723874,"51.520406, -0.085969","51.54419933900524, -0.05451959722156327",5.1 km,23 mins,1368,transit
2020-03-05 20:18:42.978973,"51.520406, -0.085969","51.54325832905781, -0.05050037224239873",5.4 km,27 mins,1596,transit
2020-03-05 20:18:43.303678,"51.520406, -0.085969","51.54220593993944, -0.04666467594618365",4.8 km,30 mins,1777,transit
2020-03-05 20:18:43.575061,"51.520406, -0.085969","51.54104730632087, -0.0430318506644082",5.0 km,32 mins,1909,transit
2020-03-05 20:18:43.915937,"51.520406, -0.085969","51.53978808083451, -0.03962003535889431",4.8 km,30 mins,1806,transit
2020-03-05 20:18:44.184534,"51.520406, -0.085969","51.538434406381654, -0.036446067813585295",5.1 km,36 mins,2166,transit
2020-03-05 20:18:44.447178,"51.520406, -0.085969","51.53699288604739, -0.033525397268889034",4.9 km,34 mins,2031,transit
2020-03-05 20:18:44.709104,"51.520406, -0.085969","51.53547055077276, -0.030872008091178665",5.1 km,32 mins,1906,transit
2020-03-05 20:18:44.964486,"51.520406, -0.085969","51.53387482494492, -0.028498354942079293",5.2 km,34 mins,2012,transit
2020-03-05 20:18:45.224424,"51.520406, -0.085969","51.53221349007585, -0.026415309775945525",5.9 km,27 mins,1605,transit
2020-03-05 20:18:45.430236,"51.520406, -0.085969","51.530494646749624, -0.024632120851451552",5.7 km,24 mins,1450,transit
2020-03-05 20:18:45.655634,"51.520406, -0.085969","51.528726675026206, -0.023156383797085775",5.4 km,21 mins,1237,transit
2020-03-05 20:18:45.885712,"51.520406, -0.085969","51.52691819349744, -0.021994024623262855",5.5 km,21 mins,1240,transit
2020-03-05 20:18:46.119274,"51.520406, -0.085969","51.52507801719678, -0.021149294428902378",5.9 km,25 mins,1528,transit
2020-03-05 20:18:46.340211,"51.520406, -0.085969","51.52321511457005, -0.02062477541073673",6.0 km,28 mins,1654,transit
2020-03-05 20:18:46.564244,"51.520406, -0.085969","51.521338563718174, -0.020421397652565638",5.6 km,28 mins,1700,transit
2020-03-05 20:18:46.776577,"51.520406, -0.085969","51.51945750812651, -0.02053846605214232",6.2 km,31 mins,1851,transit
2020-03-05 20:18:46.993416,"51.520406, -0.085969","51.51758111209722, -0.020973696638170232",6.2 km,31 mins,1845,transit
2020-03-05 20:18:47.256981,"51.520406, -0.085969","51.51571851610223, -0.0217232614414642",6.5 km,31 mins,1852,transit
2020-03-05 20:18:47.469442,"51.520406, -0.085969","51.513878792274234, -0.02278184101459573",6.8 km,33 mins,1953,transit
2020-03-05 20:18:47.708557,"51.520406, -0.085969","51.51207090025219, -0.024142683644757478",5.5 km,37 mins,2238,transit
2020-03-05 20:18:47.950234,"51.520406, -0.085969","51.51030364359551, -0.025797670275992935",6.2 km,23 mins,1403,transit
2020-03-05 20:18:48.206872,"51.520406, -0.085969","51.508585626978096, -0.027737384149512993",6.0 km,21 mins,1257,transit
2020-03-05 20:18:48.485783,"51.520406, -0.085969","51.506925214368984, -0.029951184184259298",6.3 km,25 mins,1470,transit
2020-03-05 20:18:48.761780,"51.520406, -0.085969","51.50533048840151, -0.032427281153123814",6.7 km,29 mins,1748,transit
2020-03-05 20:18:49.013438,"51.520406, -0.085969","51.50380921112653, -0.03515281576187039",7.3 km,27 mins,1621,transit
2020-03-05 20:18:49.293588,"51.520406, -0.085969","51.502368786338465, -0.03811393780582966",6.1 km,23 mins,1408,transit
2020-03-05 20:18:49.584099,"51.520406, -0.085969","51.5010162236548, -0.041295885661567444",5.8 km,20 mins,1183,transit
2020-03-05 20:18:49.831900,"51.520406, -0.085969","51.499758104521284, -0.0446830654642795",5.5 km,16 mins,970,transit
2020-03-05 20:18:50.200345,"51.520406, -0.085969","51.49860055030532, -0.048259129423916004",5.1 km,11 mins,686,transit
2020-03-05 20:18:50.514269,"51.520406, -0.085969","51.49754919262997, -0.05200705284101037",5.5 km,17 mins,997,transit
2020-03-05 20:18:50.821052,"51.520406, -0.085969","51.49660914609009, -0.05590920949398813",5.6 km,18 mins,1053,transit
2020-03-05 20:18:51.075051,"51.520406, -0.085969","51.49578498348051, -0.05994744518050437",4.6 km,17 mins,1016,transit
2020-03-05 20:18:51.351436,"51.520406, -0.085969","51.49508071365416, -0.06410314930335285",4.4 km,14 mins,851,transit
2020-03-05 20:18:51.621511,"51.520406, -0.085969","51.494499762115275, -0.06835732449417564",4.7 km,18 mins,1065,transit
2020-03-05 20:18:51.865985,"51.520406, -0.085969","51.49404495444006, -0.07269065436324668",4.9 km,32 mins,1920,transit
